Title,Date,Link,Authors,Affiliations
Optimized Watermarking Using Artificial Bee Colony Algorithm and 6-D Hyperchaotic Map Based Image Cryptographic Scheme,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03344-9,"Toshika Dutta, Manish Gupta","Department of Computer Science and Engineering, Amity University, Gwalior, Madhya Pradesh, India"
Evolving Healthcare 4.0 with Deep Secure Patient Data Accessibility Medical Organization with Artificial Intelligence Computing,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03292-4,Rahul Pulimamidi,"UI Architect/Software Developer, Laboratory Corporation of America Holdings, Durham, NC, USA"
Streamlining Task Planning Systems for Improved Enactment in Contemporary Computing Surroundings,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03267-5,"Sindhu Menon, Santosh Reddy Addula, A. Parkavi, Ch. Subbalakshmi, V. Bala Dhandayuthapani, Kiran Sree Pokkuluri, Anita Soni","School of Computing and Information Technology, REVA University, Bangalore, Karnataka, India, Department of Information Technology, University of the Cumberlands, Williamsburg, KY, USA, Dept of CSE, M S Ramaiah Institute of Technology, Bangalore, India, Department of Computer Science and Engineering, Guru Nanak Institution Technical Campus (Autonomous), Ibrahimpatnam, Ranga Reddy District, Hyderabad, 501506, Telagana State, India, Department of IT, College of Computing and Information Sciences, University of Technology and Applied Sciences, Shinas Campus, Oman, Department of Computer Science and Engineering, Shri Vishnu Engineering College for Women, Bhimavaram, India, CSE Department, IES University Bhopal, Bhopal, Madhya Pradesh, India"
Automatic Semantic Segmentation and Classification of Remote Sensing Image Data for Flood Detection Using Novel LSTM Neural Network,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03336-9,"Amruta Sonavale, Midhun Chakkaravarthy, Surampudi Srinivasa Rao, Hishamuddin Bin M. Salleh, Jagannath Jadhav","Department of Computer Science and Multimedia, Lincoln University College, Kota Bharu, Malaysia, Faculty of Computer Science and Multimedia, Lincoln University College, Kota Bharu, Malaysia, ECE, Malla Reddy College of Engineering and Technology, Hyderabad, India, Faculty of Electronics and Communication Engineering, KLE College of Engineering and Technology, Chikodi, India"
Optimizing Hydrogen Refueling Station Recommendations: A Comparative Analysis Between Genetic Algorithm and Particle Swarm Optimization,"26 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03338-7,"Soukayna Abibou, Dounia El Bourakadi, Ali Yahyaouy, Hamid Gualous","LISAC Laboratory, Department of Computer Sciences, Faculty of Sciences Dhar El Mahraz, Sidi Mohammed Ben Abdellah University, 30003, Fez, Morocco, LaMSN- La Maison des Sciences Numériques, USPN, Paris, France, LUSAC Laboratory, University of Caen Normandy, Caen, France"
Two-Stage Dynamic Creative Optimization Under Sparse Ambiguous Samples for e-Commerce Advertising,"26 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03332-z,"Guandong Li, Xian Yang","AI Center, Suning, Xuanwu, Nanjing, 210042, Jiangsu, China"
Bioinformatics-Driven Discovery of Signaling Pathways and Genes Influencing Cervical Cancer,"26 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03347-6,"Anooja Ali, Jinu Mohan, Tousif Ahamed Allabksha Nadaf, H. Ravishankar, K. R. Deepa","School of CSE, REVA University, Bangalore, Karnataka, India, Department of Artificial Intelligence and Cyber Security, Ilahia College of Engineering and Technology, Ernakulam, Kerala, India, Wipro Arabia Ltd., Dhahran, Saudi Arabia, School of Computing and Information Technology, REVA University, Bangalore, Karnataka, India, School of Electrical and Electronics Engineering, REVA University, Bangalore, Karnataka, India"
An Efficient Deep Learning Technique for Driver Drowsiness Detection,"26 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03316-z,"Abhineet Ranjan, Sanjeev Sharma, Prajwal Mate, Anshul Verma","Indian Institute of Information Technology, Pune, India, Banaras Hindu University, Varanasi, UP, India"
Potato Leaf Disease Classification Using Transfer Learning and Reweighting-Based Training with Imbalanced Data,"25 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03334-x,"Amal Jlassi, Amani Elaoud, Haythem Ghazouani, Walid Barhoumi","Research Team on Intelligent Systems in Imaging and Artificial Vision (SIIVA), LR16ES06 Laboratoire de recherche en Informatique, Modélisation et Traitement de l’Information et de la Connaissance (LIMTIC), Université de Tunis El Manar, Institut Supérieur d’Informatique, 2 Rue Bayrouni, 2080, Ariana, Tunisia, Université de Carthage, Ecole Nationale d’Ingénieurs de Carthage (ENICarthage), 45 Rue des Entrepreneurs, 2035, Tunis-Carthage, Tunisia"
GPT for Translation: A Systematic Literature Review,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03340-z,"Venus Chan, William Ko-Wai Tang","Department of Humanities, Language and Translation, School of Arts and Social Sciences, Hong Kong Metropolitan University, Ho Man Tin, Kowloon, Hong Kong, China, Department of Education, School of Education and Languages, Hong Kong Metropolitan University, Ho Man Tin, Kowloon, Hong Kong, China"
People Counting from Moving Camera Videos through PeopleNet Framework,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03298-y,"Ankit Tomar, Santosh Kumar, Kamal Kant Verma","CSE Department, Graphic Era Deemed to be University, Dehradun, U.K., India, CSE Department, School of Computer Science and Engineering Lovely Professional University, Jalandhar, Punjab, India"
Detection of Melanoma Insitu Using Trained CNN Model,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03326-x,"R. SethuMadhavi, Anitha Premkumar, T. Y. Satheesha, B. Bhasker, M. DharmaTheja, P. N. Asha","School of Computer Science Engineering, REVA University, Bengaluru, 560064, India, Department of Information Technology, Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education (MAHE), Bangalore, Karnataka, 560064, India, School of Science and Technology, Department of Engineering, University of London, London, United Kingdom, School of Computing and Information Technology, REVA University, Bengaluru, 560064, India, Department of Computer Science and Engineering, Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology, Chennai, India"
Bio-Inspired Based Optimization of Machine Learning Techniques for Energy Efficient Routing for UWSN,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03359-2,"Vijayalaxmi R. Patil, Anita Kanavalli, Shilpa Chaudhari, K. S. Aisiri","Department of CSE, Ramaiah Institute of Technology (Affiliated to VTU), Bangalore, Karnataka, India"
Exploiting Retina Biometric Fused with Encoded Hash for Designing Watermarked Convolutional Hardware IP Against Piracy,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03247-9,"Rahul Chaurasia, Anirban Sengupta","Department of Computer Science and Engineering, Indian Institute of Information Technology Bhopal, Bhopal, India, Department of Computer Science and Engineering, Indian Institute of Technology, Indore, India"
Uncovering the Hidden Patterns of the COVID-19 Global Pandemic: An in-Depth Data Analytics Approach,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03317-y,"M. Vergin Raja Sarobin, Jinen Rathore, Rajat Mishra, Vinay Vittal Moolya, Yash Seth","School of Computer Science and Engineering, Vellore Institute of Technology, Chennai, TN, 600127, India"
Towards Perpetual Wireless Rechargeable Sensor Networks with Path Optimization of Mobile Chargers,"23 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03324-z,"Binita Kumari, Ajay Kumar Yadav, Rakesh Ranjan Kumar","Department of Electronic and Communication Engineering, C. V. Raman Global University, Mahura, Bhubaneswar, Odisha, 752054, India, Department of Computer Science and Engineering, C V Raman Global University, Bhubaneswar, 752054, India"
QoS-Aware Cross-Domain Routing in SDN: A Comparative Study Between Competitive and Cooperative MARL Approaches,"21 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03314-1,"Manel Majdoub, Ali El Kamel, Habib Youssef","PRINCE Research Lab, University of Sousse, Sousse, Tunisia"
Granular Box Regression Using Simulated Annealing and Genetic Algorithm: A Comparative Study,"20 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03333-y,"Mrittika Chakraborty, Ujjwal Maulik, Anirban Mukhopadhyay","Department of Computer Science and Engineering, Jadavpur University, Kolkata, India, Department of Computer Science and Engineering, University of Kalyani, Kalyani, India"
An Efficient Approach for VM and Database Segmentation of Cloud Resources Over Cloud Computing,"19 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03204-6,"Sunil Manoli, Prabhuraj Metipatil, P. Raghavendra Nayaka","School of Computer Science and Engineering, REVA University, Bangalore, India"
Metaphor Identification and Interpretation in Corpora with ChatGPT,"18 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03331-0,"Eduardo Puraivan, Irene Renau, Nicolás Riquelme","Escuela de Ciencias, Universidad Viña del Mar, Diego Portales, 90, 2580022, Viña del Mar, Valparaíso, Chile, Escuela de Ingeniería Informática, Universidad de Valparaíso, General Cruz 222, 2362905, Valparaíso, Valparaíso, Chile, Departamento de Lingüística, Instituto de Literatura y Ciencias del Lenguaje, Pontificia Universidad Católica de Valparaíso, Av/El Bosque, 1290, 2520000, Viña del Mar, Valparaíso, Chile, Departamento de Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Av/ Vicuña Mackenna, 4860, 8320000, Santiago, Región Metropolitana, Chile"
Inclusive Learning and Assessment in the Era of AI,"18 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03346-7,"Rakesh Nayak, Hayati Yassin, Gadde Ramesh, Arunakranthi Godishala","Department of CSE, OP Jindal University, Raigarh, India, Faculty of Integrated Technologies, Universiti Brunei Darussalam, Gadong, Brunei Darussalam, Department of CSE, Vaagdevi Engineering College, Warangal, Telangana, India"
Machine Learning Based Assessment of Elite Football Players Based on Anthropometric and Motor Fitness Parameters with Regard to their Playing Positions,"18 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03261-x,"Santoshi Sneha, B. S. Prithvi, M. Niranjanamurthy, H. K. Kiran Kumar, P. Dayananda","MediNXT Technologies Pvt Ltd, Bangalore, India, Department of Computer Science and Engineering, Aditya College of Engineering and Technology (affiliated to Visvesvaraya Technological University, Belagavi), Bangalore, 560089, India, Department of AI and ML, BMS Institute of Technology and Management (affiliated to Visvesvaraya Technological University, Belagavi), Bangalore, India, Department of Physical Education, M S Ramaiah Institute of Technology (affiliated to Visvesvaraya Technological University, Belagavi), Bangalore, India, Department of Information Technology, Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education, Manipal, India"
Optical Sensor Based Continuous Blood Glucose Estimation Using Lightweight Distributed Architecture,"18 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03318-x,"Ketan Lad, Maulin Joshi, Amit Joshi","Research Scholar, Gujarat Technological University, Ahmedabad, India, Sarvajanik College of Engineering & Technology, Surat, India, Malaviya National Institute of Technology, Jaipur, India"
Drone-Based Intelligent System for Social Distancing Compliance Using YOLOv5 and YOLOv6 with Euclidean Distance Metric,"17 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03304-3,"A. Parkavi, Sini Anna Alex, M. N. Pushpalatha, Prashant Kumar Shukla, Ankur Pandey, Sachin Sharma","Department of Computer Science and Engineering, M S Ramaiah Institute of Technology, Bangalore, India, Department of Computer Science and Engineering (AI and ML), M S Ramaiah Institute of Technology, Bangalore, India, Department of Information Science and Engineering, M S Ramaiah Institute of Technology, Bangalore, India, Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Guntur, Andhra Pradesh, 522302, India, Department of Computer Science and Engineering, Manipal University Jaipur, Jaipur, Rajasthan, India, Manav Rachna International Institute of Research and Studies, Faridabad, India"
Events Correlations for Fault Identification in GPON Networks,"17 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03328-9,"Manoel L. Filho, Danilo R. de Vasconcelos, Rossana M. C. Andrade, Alex L. Ramos, Ismayle S. Santos","GREat, Universidade Federal do Ceará, Av. Humberto Monte, Fortaleza, Ceará, 60455-760, Brazil, DARM Labs, Instituto Federal de Educação, Ciência e Tecnologia do Ceará, Rodovia BR 020, Km 303, Caninde, Ceará, 62700-000, Brazil"
User Task Priority Based Resource Allocation with Multi Class Task Scheduling Strategy and Load Balancing in Cloud Environment,"17 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03290-6,"Nida Kousar G, Gopala Krishnan C","Department of Computer Science and Engineering, GITAM School of Technology, Bengaluru, 561203, India"
Smart Agriculture: A Comprehensive Overview,"17 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03319-w,"Alakananda Mitra, Sukrutha L. T. Vangipuram, Anand K. Bapatla, Venkata K. V. V. Bathalapalli, Saraju P. Mohanty, Elias Kougianos, Chittaranjan Ray","Nebraska Water Center at the Institute of Agriculture and Natural Resources, University of Nebraska-Lincoln, Lincoln, NE, 68588-6204, USA, Department of Computer Science and Engineering, University of North Texas, Denton, TX, 76207-7102, USA, Department of Electrical Engineering, University of North Texas, Denton, TX, 76207-7102, USA, Nebraska Water Center, part of the Robert B. Daugherty Water for Food Global Institute, University of Nebraska-Lincoln, Lincoln, NE, 68588-6204, USA"
Assessing Player Contributions in League of Legends Matches: An Analytical Approach,"16 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03327-w,"Manuel Perez, Cesar O. Diaz, Pau Soler, Aitor Mier","Informatics Department, OMASHU, Carrer de Pascual i Vila, 08028, Barcelona, BCN, Spain"
Cytosine Methylation and Demethylation Model: Equilibrium Point and the Influence of Enzymes on Cytosine Forms Levels,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03330-1,"Krzysztof Fujarewicz, Karolina Kurasz","Department of Systems Biology and Engineering, Silesian University of Technology, Akademicka 16, Gliwice, 44-100, Poland"
Early Detection of Benign Ovarian Tumor Classification Using U-NET+ with Hybrid Deep Learning Techniques,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03272-8,"C. Kamala, Joshi Manisha Shivaram","Department of Medical Electronics, Dr. Ambedkar Institute of Technology, Bengaluru, Karnataka, India, Department of Medical Electronics, B.M.S. College of Engineering, Bengaluru, Karnataka, India"
Exploring Advanced Deep Learning Paradigms for Precise Brain Tumor Categorization,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03228-y,"Daisy E. Imbaquingo-Esparza, Miguel Botto-Tobar, José G. Jacome-Leon, Marcelo Zambrano-Vizuete","Universidad Técnica del Norte, Ibarra, Ecuador, Universidad Espíritu Santo, Samborondón, Ecuador, Instituto Tecnológico Superior Rumiñahui, Sangolquí, Ecuador"
Lie Commutator Based Energy Efficient Data Gathering Protocol in WSN for Industrial Automation,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03301-6,"Supriya Sridharan, Swaminathan Venkataraman, Hemamalini Siranjeevi","Department of Mathematics, School of Arts, Sciences, Humanities and Education, SASTRA Deemed to be University, Thanjavur, Tamil Nadu, India, Department of Computer Science, Srinivasa Ramanujan Centre, SASTRA Deemed to be University, Kumbakonam, Tamil Nadu, India"
Gauging Deep Learning Archetypal Effectiveness in Haematological Reclamation,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03322-1,"B. P. Pradeep kumar, J. Ravikumar","Dept. of Computer Science and Design, Atria Institute of Technology, VTU Karnataka, Bangalore, India, Dept. of Computer Science and Engineering, Atria Institute of Technology, VTU Karnataka, Bangalore, India"
Chronic Kidney Disease (CKD) Prediction Using Stochastic Deep Radial Basis for Feature Extractiona Residual Neural Network,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03302-5,"M. S. Jayaprabha, V. Vishwa Priya","Vels Institute of Science, Technology & Advanced Studies (VISTAS), Chennai, Tamil Nadu, India, Department of Computer Science, Vels Institute of Science, Technology & Advanced Studies (VISTAS), Chennai, Tamil Nadu, India"
Clustering Techniques for Hyperspectral Images Using Joint Analysis Dictionary Learning,"15 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03293-3,"Jyoti Maggu, Pratishtha Verma, Roshan Singh","Computer Science and Engineering Department, Thapar Institute of Engineering and Technology, Patiala, Punjab, 147001, India, Computer Engineering Department, National Institute of Technology, Kurukshetra, Haryana, 201309, India, Uttar Pradesh State Institute of Forensic Sciences, Lucknow, U.P., 226401, India"
Triple Tier Framework for Intellectual Edge Assisted Multicontroller Load Balancing in SDN,"14 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03146-z,"Pardeep Singh Tiwana, Jaspreet Singh","CSE, Chandigarh University, Gharuan, Punjab, India, CGC-College of Engineering Landran, Punjab, India"
Statistical Modeling of Discourse Genres: The Case of the Opinion Column in Spanish,"14 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03329-8,Rogelio Nazar,"Instituto de Literatura y Ciencias del Lenguaje, Pontificia Universidad Católica de Valparaíso, Av. El Bosque 1290, Viña del Mar, 2520000, Valparaíso, Chile"
Advancing Climate Forecasting Accuracy Through Neurosymbolic Integration: Unveiling the Neurosymbolic Climate Inference and Prediction (NS-CIP) Model’s Approach to Predicting Extreme Weather Events,"13 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03321-2,"Vinay Kukreja, Tejinder Pal Singh Brar, Satvik Vats, Ankit Bansal, Rishabh Sharma","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India, M.M. Institute of Computer Technology & Business Management, Maharishi Markandeshwar (Deemed to be University), Mullana, Haryana, India, Computer Science and Engineering, Graphic Era Hill University, Dehradun, Uttarakhand, India"
Improving Text-Based Depression Analysis Through Hybrid Deep Learning Architectures: A Methodological Framework,"12 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03320-3,"Shaik Shabana, V. C. Bharathi","School of Computer Science and Engineering, VIT-AP University, Amaravati, Andhra Pradesh, 522 237, India"
SVAD: Stacked Variational Autoencoder Deep Neural Network-Based Dimensionality Reduction and Classification of Small Sample Size and High Dimensional Data,"12 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03294-2,"Neha Srivastava, Devendra K. Tayal","Indira Gandhi Delhi Technical University for Women, James Church, New Church Rd., Opp. St, Kashmere Gate, New Delhi, 110006, India"
A Survey of Fake Data or Misinformation Detection Techniques Using Big Data and Sentiment Analysis,"12 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03297-z,"Parth kansara, Kinjal U. Adhvaryu","Department of Computer Engineering, Gujarat Technological University, Ahmedabad, India, Department of Computer Engineering, SAL Institute of Technology, Gujarat Technological University, Ahmedabad, India"
Blokchain-Based Trust and AI-Driven Water Quality Prediction in River Systems,"12 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03315-0,"Anjali Arora, Mayank Aggarwal","Computer Science and Engineering, Gurukul Kangri Deemed to be University, Haridwar, Uttrakhand, 249404, India"
Automatic Classification of Sleep Stages from EEG Signals Using Riemannian Metrics and Transformer Networks,"12 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03310-5,"Mathieu Seraphim, Alexis Lechervy, Florian Yger, Luc Brun, Olivier Etard","Normandie Univ UNICAEN, ENSICAEN, CNRS, GREYC, 14000, Caen, France, Normandie Université, UNICAEN, INSERM, COMETE, CYCERON, CHU Caen, 14000, Caen, France, LAMSADE, CNRS, PSL University Paris-Dauphine, 75016, Paris, France"
A Survey on Secure Refactoring,"12 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03325-y,"Estomii Edward, Ally S. Nyamawe, Noe Elisa","Department of Computer Science and Engineering, The University of Dodoma, Dodoma, Tanzania"
A Semi-supervised Approach of Cluster-Based Topic Modeling for Effective Tweet Hashtag Recommendation,"10 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03299-x,"Pradipta Kumar Pattanayak, Rudra M. Tripathy, Sudarsan Padhy","Research Scholar BPUT(Rourkela), Department of Computer Science and Engineering, Silicon University, Patia, Bhubaneswar, Odisha, 751024, India, School of Computer Science and Engineering, XIM University, Harirajpur, Bhubaneswar, Odisha, 752050, India, Institute of Mathematics and Applications, Andharua, Bhubaneswar, Odisha, 751029, India"
Content-Based CT Image Retrieval for Emphysema Using Texture and Shape Features,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03313-2,"Ankur Prakash, Vibhav Prakash Singh","Computer Science and Engineering Department, Motilal Nehru National Institute of Technology Allahabad, Prayagraj, India"
Lightweight Authentication Scheme Based on ECC for IoT,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03291-5,"Sweta Mishra, Bhaskar Mondal, Rishi Kumar Jha","Department of Mathematics, National Institute of Technology Patna, Patna, 800005, Bihar, India, Department of Computer Science and Engineering, National Institute of Technology Patna, Patna, 800005, Bihar, India"
Enhancing Pattern Classification Accuracy Through Customer Segmentation-Using Machine Learning Algorithms,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03203-7,"Raghavendra Mokashi, Vijayalakshmi A. Lepakshi","REVA University, Bangalore, Karnataka, India, School of Computer Science and Applications, REVA University, Bangalore, Karnataka, India"
Essential Protein Identification in Cancer: A Graph-Based Approach Integrating Topological and Biological Features in PPI Networks,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03312-3,"Trilochan Rout, Anjali Mohapatra, Madhabananda Kar, Dillip Kumar Muduly","Department of Computer Science, IIIT Bhubaneswar, Bhubaneswar, Odisha, 751003, India, Department Surgical Oncology, AIIMS, Bhubaneswar, Odisha, 751003, India"
Improving the Storage Utilization of 0-Complete Trees,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03268-4,"H. K. Dai, K. Furusawa","Computer Science Department, Oklahoma State University, Stillwater, Oklahoma, 74078, USA, Department of Computer Science, University of North Dakota, Grand Forks, North Dakota, 58202, USA"
An IoT Cloud Security System Powered by Blockchain for Secure Preservation of Electronic Health Records,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03278-2,"K. Lino Fathima Chinna Rani, M. P. Anuradha","Department of Computer Applications, Bishop Heber College, Affiliated to Bharathidasan University, Tiruchirappalli, Tamilnadu, 620017, India, Department of Computer Science, Bishop Heber College, Affiliated to Bharathidasan University, Tiruchirappalli, Tamilnadu, 620017, India"
On the Discovery of Frequent Gradual Patterns: A Symbolic AI-Based Framework,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03303-4,"Jerry Lonlac, Imen Ouled Dlala, Saïd Jabbour, Engelbert Mephu Nguifo, Badran Raddaoui, Lakhdar Saïs","IMT Nord Europe, IMT, University of Lille, Centre for Digital Systems, 59653, Lille, France, Research Center Organization, Pôle Universitaire Léonard de Vinci, Paris, France, CRIL, University of Artois and CNRS, 62300, Lens, France, SAMOVAR, Télécom SudParis, Institut Polytechnique de Paris, Paris, France, University Clermont Auvergne, Clermont Auvergne INP, CNRS, ENSMSE, INP, LIMOS, Clermont Ferrand, France"
Pseudo-random Number Generator Using Knight’s Travel Path and Brightness Response of the Eye,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03276-4,"Sandeep Reddy Devara, Chandrasekhar Azad, S. Kiran","Sandisk India, Bangalore, Karnataka, 560103, India, Department of Computer Science and Engineering, NIT Jamshedpur, Jharkhand, 831014, India, Department of Computer Science and Engineering, YSR Engineering College of YVU, Proddatur, Andhra Pradesh, 516360, India"
Correction to: Visualization of Real-Time Smart Home Data Using PowerBI,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03348-5,"S Swamy Narasimha, Dheeraj Manirathnam Anna, Akhil Reddy, M N Vijayalakshmi, Kota Solomon Raju","Academy of Science and Industrial Research, Ghaziabad, India, Department of Artificial Intelligence and Machine Learning, RV College of Engineering, Bengaluru, India, CSIR-National Aerospace Laboratory, Bengaluru, India"
Hardware Security of Image Processing Cores Against IP Piracy Using PSO-Based HLS-Driven Multi-Stage Encryption Fused with Fingerprint Signature,"09 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03255-9,"Anirban Sengupta, Aditya Anshul","Department of Computer Science and Engineering, Indian Institute of Technology (IIT), Indore, 453552, India"
Evaluation of Functional Mobility of Elders Using Vision Attentive Model for Parkinson’s Disease,"07 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03295-1,"D. A. N. P. Gunaratne, H. M. K. K. M. B. Herath, R. G. D. Dhanushi, S. L. P. Yasakethu","Faculty of Engineering, Sri Lanka Technological Campus, Padukka, Sri Lanka, Computational Intelligence and Robotics Research Lab, Sri Lanka Technological Campus, Padukka, Sri Lanka, Faculty of Livestock Fisheries and Nutrition, Wayamba University of Sri Lanka, Makandura, Sri Lanka"
